n_layers,learning_rates,n_epochs,losses,n_neurons,activations,Score,Accuracy,F1,Precision,Recall,train_accuracy,train_loss
4,0.01,20,crossentropy,"(27, 32, 32, 32, 4)","('relu', 'tanh', 'relu', 'softmax')",95.74468085106386,0.8544943393359167,0.7775104296770705,0.8306937385671139,0.7380965507123858,0.935429611316131,0.1741260166954243
4,0.01,20,crossentropy,"(27, 32, 32, 32, 4)","('relu', 'relu', 'tanh', 'softmax')",97.44680851063832,0.863156295114353,0.783276608492874,0.8300625160622482,0.7472894099736918,0.9344580828989248,0.1766718576275981
4,0.01,20,crossentropy,"(27, 32, 32, 32, 4)","('relu', 'relu', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,
4,0.01,20,crossentropy,"(27, 32, 32, 32, 4)","('relu', 'relu', 'sigmoid', 'softmax')",100.95744680851064,0.8592052275662944,0.7829445979156604,0.8222793021044477,0.7528695429788383,0.9390039658660017,0.1625983430231962
4,0.01,20,crossentropy,"(27, 32, 32, 32, 4)","('relu', 'sigmoid', 'tanh', 'softmax')",97.2340425531915,0.8675632550718031,0.7887582543172316,0.8461549749874978,0.746539852012057,0.9402800031900932,0.159249609911892
4,0.01,20,crossentropy,"(27, 32, 32, 32, 4)","('relu', 'sigmoid', 'relu', 'softmax')",98.936170212766,0.8633082592508168,0.7880616878967371,0.8297721966806566,0.7581185379421537,0.9393302254090932,0.1614993448113944
4,0.01,20,crossentropy,"(27, 32, 32, 32, 4)","('relu', 'sigmoid', 'sigmoid', 'softmax')",97.23404255319151,0.8657396854342375,0.786401662210473,0.8608216046563401,0.7357864541587091,0.939214222015994,0.1631492062437642
4,0.01,20,crossentropy,"(27, 32, 32, 32, 4)","('relu', 'tanh', 'tanh', 'softmax')",100.63829787234044,0.864675936478991,0.7854485506527625,0.8507959468491189,0.7396689008840969,0.93577037128336,0.1740739814447969
4,0.01,20,crossentropy,"(27, 32, 32, 32, 4)","('relu', 'tanh', 'sigmoid', 'softmax')",98.7234042553192,0.8487956842185245,0.7640995373301931,0.8502182699451083,0.709592106361262,0.9377569293901846,0.1657074445507327
4,0.01,20,crossentropy,"(27, 32, 32, 32, 4)","('sigmoid', 'relu', 'relu', 'softmax')",96.38297872340426,0.8569257655193374,0.7755393247324354,0.8535312281123086,0.7225333372368006,0.9393954773177116,0.1597290948209133
4,0.01,20,crossentropy,"(27, 32, 32, 32, 4)","('sigmoid', 'relu', 'tanh', 'softmax')",97.55319148936177,0.858749335156903,0.7772138321020867,0.8500149437834306,0.727270660638278,0.938307945507406,0.1641120927987972
4,0.01,20,crossentropy,"(27, 32, 32, 32, 4)","('sigmoid', 'relu', 'sigmoid', 'softmax')",97.2340425531915,0.8556340703593952,0.773177131533289,0.8506465894982277,0.7215280674032136,0.938090439145345,0.165710858951587
4,0.01,20,crossentropy,"(27, 32, 32, 32, 4)","('sigmoid', 'sigmoid', 'relu', 'softmax')",94.36170212765958,0.8537345186535977,0.7750888829350582,0.8296293569784139,0.7345645570958421,0.9347335909575356,0.1741256742437063
