window_size,idle_thresh,swipe_left_thresh,swipe_right_thresh,rotate_thresh,rotate_left_thresh,flip_table_thresh,pinch_thresh,point_thresh,spread_thresh,swipe_down_thresh,swipe_up_thresh,score
6,0.7,0.4,0.6,0.7,0.7,0.6,0.7,0.7,0.7,0.2,0.2,104.2986425339367
6,0.8,0.4,0.6,0.7,0.7,0.6,0.7,0.7,0.7,0.2,0.2,104.2986425339367
6,0.9,0.4,0.6,0.7,0.7,0.6,0.7,0.7,0.7,0.2,0.2,104.2986425339367
6,1.0,0.4,0.6,0.7,0.7,0.6,0.7,0.7,0.7,0.2,0.2,104.2986425339367
8,0.7,0.2,0.2,0.8,0.7,0.4,0.6,0.6,0.8,0.2,0.2,103.21266968325797
8,0.8,0.3,0.3,0.8,0.7,0.4,0.6,0.6,0.8,0.2,0.2,104.52488687782807
8,0.9,0.3,0.4,0.7,0.7,0.4,0.6,0.6,0.8,0.2,0.2,103.34841628959279
8,1.0,0.3,0.4,0.7,0.7,0.4,0.6,0.6,0.8,0.2,0.2,103.34841628959279
10,0.7,0.2,0.3,0.7,0.6,0.2,0.5,0.5,0.8,0.2,0.2,101.85520361990956
10,0.8,0.2,0.2,0.7,0.6,0.4,0.5,0.5,0.8,0.2,0.2,103.30316742081453
10,0.9,0.3,0.4,0.6,0.6,0.4,0.5,0.5,0.8,0.2,0.2,103.48416289592764
10,1.0,0.3,0.4,0.6,0.6,0.4,0.5,0.5,0.8,0.2,0.2,103.1221719457014
12,0.7,0.2,0.3,0.6,0.7,0.2,0.6,0.4,0.6,0.2,0.2,103.07692307692312
12,0.8,0.2,0.3,0.6,0.7,0.3,0.6,0.4,0.6,0.2,0.2,103.66515837104075
12,0.9,0.2,0.3,0.6,0.7,0.3,0.6,0.4,0.6,0.2,0.2,103.48416289592762
12,1.0,0.2,0.3,0.6,0.5,0.3,0.6,0.4,0.6,0.2,0.2,102.98642533936655
14,0.7,0.2,0.2,0.5,0.6,0.2,0.6,0.3,0.6,0.2,0.2,103.1674208144797
14,0.8,0.2,0.2,0.5,0.6,0.2,0.6,0.3,0.6,0.2,0.2,102.21719457013579
14,0.9,0.2,0.2,0.5,0.6,0.2,0.6,0.3,0.6,0.2,0.2,102.03619909502267
14,1.0,0.2,0.2,0.6,0.6,0.2,0.6,0.3,0.6,0.2,0.2,100.5429864253394
16,0.7,0.2,0.2,0.5,0.6,0.2,0.5,0.3,0.5,0.2,0.2,103.8009049773756
16,0.8,0.2,0.2,0.5,0.6,0.2,0.5,0.3,0.5,0.2,0.2,103.52941176470591
16,0.9,0.2,0.2,0.5,0.6,0.2,0.5,0.3,0.5,0.2,0.2,101.17647058823532
16,1.0,0.2,0.2,0.6,0.6,0.2,0.5,0.3,0.5,0.2,0.2,99.27601809954753
18,0.7,0.2,0.2,0.5,0.8,0.2,0.4,0.3,0.5,0.2,0.2,103.71040723981903
18,0.8,0.2,0.2,0.5,0.8,0.2,0.4,0.3,0.5,0.2,0.2,103.16742081447967
18,0.9,0.2,0.2,0.5,0.8,0.2,0.4,0.3,0.5,0.2,0.2,100.18099547511314
18,1.0,0.2,0.2,0.5,0.8,0.2,0.4,0.3,0.5,0.2,0.2,97.46606334841628
20,0.7,0.2,0.2,0.5,0.7,0.2,0.4,0.3,0.4,0.2,0.2,100.85972850678735
20,0.8,0.2,0.2,0.5,0.7,0.2,0.4,0.3,0.4,0.2,0.2,102.57918552036203
20,0.9,0.2,0.2,0.5,0.7,0.2,0.4,0.3,0.4,0.2,0.2,100.67873303167424
20,1.0,0.2,0.2,0.5,0.7,0.2,0.4,0.3,0.4,0.2,0.2,94.4343891402715
22,0.7,0.2,0.2,0.4,0.6,0.2,0.4,0.3,0.4,0.2,0.2,96.38009049773756
22,0.8,0.2,0.2,0.4,0.6,0.2,0.4,0.3,0.4,0.2,0.2,97.78280542986425
22,0.9,0.2,0.2,0.4,0.6,0.2,0.4,0.2,0.4,0.2,0.2,95.61085972850678
22,1.0,0.2,0.2,0.4,0.6,0.2,0.4,0.2,0.4,0.2,0.2,90.4524886877828
24,0.7,0.2,0.2,0.4,0.6,0.2,0.3,0.3,0.3,0.2,0.2,94.70588235294116
24,0.8,0.2,0.2,0.4,0.6,0.2,0.3,0.3,0.3,0.2,0.2,96.42533936651584
24,0.9,0.2,0.2,0.4,0.6,0.2,0.3,0.2,0.3,0.2,0.2,93.710407239819
24,1.0,0.2,0.2,0.4,0.6,0.2,0.3,0.2,0.3,0.2,0.2,88.82352941176471
26,0.7,0.2,0.2,0.3,0.6,0.2,0.3,0.2,0.3,0.2,0.2,90.81447963800902
26,0.8,0.2,0.2,0.3,0.6,0.2,0.3,0.2,0.3,0.2,0.2,90.49773755656106
26,0.9,0.2,0.2,0.3,0.6,0.2,0.3,0.2,0.3,0.2,0.2,87.82805429864251
26,1.0,0.2,0.2,0.3,0.6,0.2,0.3,0.2,0.3,0.2,0.2,83.21266968325789
28,0.7,0.2,0.2,0.3,0.5,0.2,0.3,0.3,0.3,0.2,0.2,89.95475113122168
28,0.8,0.2,0.2,0.3,0.5,0.2,0.3,0.2,0.3,0.2,0.2,89.77375565610858
28,0.9,0.2,0.2,0.3,0.5,0.2,0.3,0.2,0.3,0.2,0.2,86.56108597285066
28,1.0,0.2,0.2,0.4,0.5,0.2,0.3,0.2,0.3,0.2,0.2,81.53846153846153
