,to_delta,to_drop,pca,augmented,run,score,f1_macro,precision_macro,recall_macro,accuracy,epoch
0,features,confidence_features,True,False,4,89.3617021276596,0.8043829490090839,0.8756479188761409,0.760603926736358,0.8802522604665299,10.0
1,features,confidence_features,True,False,4,88.40425531914899,0.8091346399216884,0.8701779962904227,0.7664116779668655,0.8783527087607325,20.0
2,features,confidence_features,True,False,4,91.17021276595746,0.7988852168165437,0.8666056509147853,0.7560646360119552,0.8680951295494264,30.0
3,features,confidence_features,True,False,4,91.38297872340428,0.8060804923535525,0.871028860665168,0.7617124155325912,0.8748575336220652,40.0
4,features,confidence_features,True,False,4,89.89361702127665,0.8049861294988628,0.8742001627174727,0.759246843173642,0.8755413722361522,50.0
5,features,confidence_features,True,False,4,91.48936170212768,0.8066916958329935,0.8686098810524597,0.7652522861126471,0.8711344122787023,60.0
6,features,confidence_features,True,False,4,92.02127659574472,0.8094239643695218,0.8644006655677892,0.775089900861264,0.8731859281209634,70.0
7,features,confidence_features,True,False,4,89.5744680851064,0.8078376167125472,0.8619744173268669,0.7733052319674372,0.8722741433021807,80.0
8,features,confidence_features,True,False,4,94.0425531914894,0.8047297414778998,0.8600705917798411,0.7666311595757027,0.8713623584833979,90.0
9,features,confidence_features,True,False,4,92.23404255319151,0.805582596675424,0.8671684720856456,0.7619954722251973,0.8745536053491376,100.0
10,features,confidence_features,False,False,3,90.85106382978734,0.7588621179106295,0.7906093299341029,0.7385413215448924,0.8332193602309855,10.0
11,features,confidence_features,False,False,3,95.10638297872345,0.7711386154862254,0.8564435649448887,0.7150591953699593,0.8537345186535977,20.0
12,features,confidence_features,False,False,3,88.93617021276603,0.8301659327857602,0.8207487892558211,0.8419802591427559,0.8833675252640377,30.0
13,features,confidence_features,False,False,3,40.74468085106372,0.7461391627170975,0.7185721604603159,0.8172261816045957,0.7565534533850011,40.0
14,features,confidence_features,False,False,3,92.87234042553196,0.8040343939070334,0.8459474498435655,0.7716021915773327,0.8713623584833979,50.0
15,features,confidence_features,False,False,3,88.40425531914902,0.7676499594338588,0.8538886318698545,0.7107642736774219,0.8569257655193374,60.0
16,features,confidence_features,False,False,3,86.59574468085115,0.7718385324778986,0.855544142052808,0.7185058639557227,0.8583694248157435,70.0
17,features,confidence_features,False,False,3,87.87234042553196,0.8002455554746245,0.8522121666075232,0.761019292255364,0.8688549502317453,80.0
18,features,confidence_features,False,False,3,85.95744680851068,0.7521024069712894,0.8548110444959074,0.6936598452566748,0.8384621229389864,90.0
19,features,confidence_features,False,False,3,88.08510638297878,0.7790649926960748,0.8688038747232257,0.7205427584430383,0.858749335156903,100.0
20,features,confidence_features,False,False,1,84.04255319148945,0.7456298373568996,0.8034893338137366,0.70566746206153,0.8294202568193906,10.0
21,features,confidence_features,False,False,1,95.31914893617024,0.7886445697334149,0.8293845476412496,0.7750048129172031,0.8671073626624116,20.0
22,features,confidence_features,False,False,1,93.19148936170218,0.8022740948825606,0.8254553605165411,0.7885905886623166,0.8701466453916875,30.0
23,features,confidence_features,False,False,1,94.14893617021278,0.818619288264979,0.8201283707322048,0.8207554861961701,0.8772889598054859,40.0
24,features,confidence_features,False,False,1,92.97872340425536,0.8287511326207675,0.8358377761512015,0.8249867716016462,0.8848111845604437,50.0
25,features,confidence_features,False,False,1,93.19148936170218,0.8230511716295583,0.8573770887270808,0.7972114292886379,0.8835954714687334,60.0
26,features,confidence_features,False,False,1,92.87234042553196,0.8094994842917694,0.8605968365455108,0.7762508873393851,0.8726540536433401,70.0
27,features,confidence_features,False,False,1,93.29787234042556,0.7861440218269031,0.8377808363027642,0.7572032617137064,0.8569257655193374,80.0
28,features,confidence_features,False,False,1,92.87234042553196,0.80295196644248,0.8477686416240863,0.7762607247228085,0.8624724565002659,90.0
29,features,confidence_features,False,False,1,89.46808510638303,0.7840050069456987,0.8563589907041315,0.7444094262313696,0.861712635817947,100.0
30,features,confidence_features,False,False,2,92.76595744680856,0.768638501351498,0.7939047138965113,0.7534190888576295,0.838690069143682,10.0
31,features,confidence_features,False,False,2,103.19148936170215,0.7969412044845162,0.8846839069759028,0.7388991480952853,0.8674872730035712,20.0
32,features,confidence_features,False,False,2,94.2553191489362,0.8159829002068417,0.8616585940213635,0.7830099710807081,0.8793404756477471,30.0
33,features,confidence_features,False,False,2,93.51063829787238,0.8255939991699224,0.851799600347715,0.8064529879422152,0.8823037763087911,40.0
34,features,confidence_features,False,False,2,90.53191489361706,0.8189308694747305,0.8445594889214776,0.7967100401387008,0.8810880632170808,50.0
35,features,confidence_features,False,False,2,93.51063829787238,0.8222515963982734,0.8558423791409944,0.7975339148204034,0.8793404756477471,60.0
36,features,confidence_features,False,False,2,95.31914893617024,0.8096522515698537,0.8706849637676601,0.765152947401477,0.8753134260314566,70.0
37,features,confidence_features,False,False,2,92.65957446808513,0.8080525331646006,0.851028606128841,0.774738045137253,0.8702986095281513,80.0
38,features,confidence_features,False,False,2,91.17021276595746,0.8269218009539705,0.8541485425401047,0.805463840442951,0.8848111845604437,90.0
39,features,confidence_features,False,False,2,94.2553191489362,0.8099891413685185,0.8541470596092737,0.7756817864908228,0.8736418205303549,100.0
40,features,confidence_features,False,False,4,83.08510638297881,0.7695761864488073,0.7728464097737028,0.7712027544153578,0.8410455132588709,10.0
41,features,confidence_features,False,False,4,90.0,0.8219759199830112,0.8090121262200953,0.847440986299255,0.8751614618949928,20.0
42,features,confidence_features,False,False,4,94.57446808510642,0.7988628069859084,0.8574684569888629,0.7552302841012933,0.8718942329610212,30.0
43,features,confidence_features,False,False,4,79.78723404255322,0.8064203075739894,0.8198557725175586,0.8066014717109323,0.8663475419800927,40.0
44,features,confidence_features,False,False,4,89.68085106382985,0.8243591434762765,0.837984726580957,0.8154103542490813,0.8829116328546464,50.0
45,features,confidence_features,False,False,4,88.40425531914896,0.7892494387404945,0.8469943631696754,0.7503739928956321,0.8629283489096573,60.0
46,features,confidence_features,False,False,4,89.57446808510642,0.800128339191915,0.8589247864972502,0.7652808046107534,0.8759212825773117,70.0
47,features,confidence_features,False,False,4,93.08510638297876,0.7868265482059471,0.8540984524468406,0.7418252399021643,0.8570777296558012,80.0
48,features,confidence_features,False,False,4,92.23404255319151,0.7555940950291147,0.8493170838118045,0.7013796234149334,0.8388420332801458,90.0
49,features,confidence_features,False,False,4,86.80851063829789,0.7747839272199536,0.8341062234965394,0.7406993483594644,0.8548742496770763,100.0
50,features,confidence_features,False,False,0,88.40425531914907,0.7416370240107893,0.8075232380787936,0.703892285522587,0.8298761492287821,10.0
51,features,confidence_features,False,False,0,92.23404255319156,0.7923005303574484,0.8251178388339189,0.7657658677754344,0.8630043309778892,20.0
52,features,confidence_features,False,False,0,90.63829787234047,0.8114979817077734,0.8307722461489555,0.7971337259701619,0.8775928880784135,30.0
53,features,confidence_features,False,False,0,92.44680851063832,0.808837776548759,0.8247163734668715,0.7986439815449013,0.8689309322999772,40.0
54,features,confidence_features,False,False,0,90.63829787234047,0.8050391794734556,0.8483870547461918,0.7776843514740838,0.8749335156902971,50.0
55,features,confidence_features,False,False,0,90.00000000000004,0.8143702757262299,0.8532926581184027,0.7860841872638904,0.8782767266925006,60.0
56,features,confidence_features,False,False,0,91.27659574468086,0.826483135658513,0.8372450631489059,0.8238981178259303,0.8798723501253705,70.0
57,features,confidence_features,False,False,0,91.70212765957451,0.7856278461992836,0.8630933680584253,0.7365960157346925,0.8668794164577159,80.0
58,features,confidence_features,False,False,0,92.76595744680854,0.8055422055964238,0.8591436627087776,0.7680301047382778,0.8718942329610212,90.0
59,features,confidence_features,False,False,0,92.76595744680856,0.8064372538217958,0.8428246825251938,0.7799559634428763,0.8664995061165565,100.0
60,coords_features,features,True,True,0,83.51063829787232,0.7536600041851733,0.8185266421003522,0.7117814385320704,0.8502393435149305,10.0
61,coords_features,features,True,True,0,98.51063829787232,0.7634120330841454,0.8070123799977136,0.7334318084009831,0.8554061241546995,20.0
62,coords_features,features,True,True,0,86.38297872340424,0.7607110817693369,0.8204403447505657,0.7201207167384134,0.8556340703593952,30.0
63,coords_features,features,True,True,0,94.14893617021274,0.7721977525847925,0.8228739047509348,0.7363900491270374,0.8629283489096573,40.0
64,coords_features,features,True,True,0,89.46808510638299,0.7539056038104492,0.8248179141412472,0.70941577071163,0.8522908593571917,50.0
65,coords_features,features,True,True,0,90.42553191489364,0.7627497280900608,0.8185438264803573,0.7244883940554843,0.854266393131221,60.0
66,coords_features,features,True,True,0,85.95744680851064,0.7475421466183684,0.7980483228980814,0.7120177298575174,0.8462882759668718,70.0
67,coords_features,features,True,True,0,86.27659574468085,0.755939769194173,0.8025464095880743,0.7234701615595549,0.8487197021502926,80.0
68,coords_features,features,True,True,0,88.4042553191489,0.7494537440090285,0.7907395507888295,0.7192548230577959,0.8456044373527848,90.0
69,coords_features,features,True,True,0,86.80851063829786,0.7538575867552473,0.810366099987726,0.7140327141726379,0.8472760428538865,100.0
70,features,confidence_features,False,True,2,94.78723404255328,0.7450582231724153,0.8368569536513257,0.7026586226256948,0.8396018539624649,10.0
71,features,confidence_features,False,True,2,98.29787234042556,0.7771561288433323,0.8502101469234762,0.7363668817944536,0.8554821062229314,20.0
72,features,confidence_features,False,True,2,89.68085106382979,0.8062794532417804,0.8290052515600406,0.790379423200234,0.8699946812552237,30.0
73,features,confidence_features,False,True,2,87.34042553191493,0.8101939592698391,0.839109001149175,0.7912069662017231,0.8718942329610212,40.0
74,features,confidence_features,False,True,2,90.53191489361706,0.7941293333283055,0.8429308102802961,0.7655581241886052,0.8577615682698883,50.0
75,features,confidence_features,False,True,2,92.23404255319151,0.7985809476632927,0.8536366556841266,0.7596127371668974,0.8658156675024694,60.0
76,features,confidence_features,False,True,2,91.38297872340428,0.7870083672122912,0.8458944887766175,0.7532458245566598,0.8538105007218296,70.0
77,features,confidence_features,False,True,2,90.42553191489364,0.7801985630472935,0.8645567867480035,0.7241438671579481,0.8613327254767875,80.0
78,features,confidence_features,False,True,2,92.02127659574472,0.7865681971728754,0.8376452221862849,0.759793554186333,0.8515310386748727,90.0
79,features,confidence_features,False,True,2,91.1702127659575,0.7935273488689192,0.8570063613706866,0.752664153405703,0.860192994453309,100.0
80,features,confidence_features,False,True,1,94.36170212765964,0.7580910969524766,0.7912769658010339,0.7601239932434416,0.8367905174378847,10.0
81,features,confidence_features,False,True,1,95.74468085106386,0.7958622537559729,0.84792947859121,0.7616711529460038,0.8642960261378315,20.0
82,features,confidence_features,False,True,1,98.61702127659576,0.7396847597182468,0.8754533641543287,0.6768651052065269,0.8366385533014209,30.0
83,features,confidence_features,False,True,1,85.95744680851064,0.7567728793552124,0.8607175392471069,0.6931963333590183,0.8487197021502926,40.0
84,features,confidence_features,False,True,1,90.10638297872342,0.7920085070006474,0.8553358393912431,0.7480847205517043,0.8625484385684978,50.0
85,features,confidence_features,False,True,1,87.97872340425533,0.783071816939354,0.8516733544264805,0.7394307189408897,0.8545703214041486,60.0
86,features,confidence_features,False,True,1,89.5744680851064,0.8016518599316962,0.8397860388398604,0.7743217768158243,0.8642960261378315,70.0
87,features,confidence_features,False,True,1,90.10638297872342,0.780611478816026,0.8582966963016838,0.7317612662725629,0.857229693792265,80.0
88,features,confidence_features,False,True,1,92.34042553191492,0.7735186424528423,0.8586871103517406,0.7215536992616511,0.8535825545171339,90.0
89,features,confidence_features,False,True,1,87.55319148936174,0.7788589395169248,0.8347105922608358,0.7408694321503609,0.8493275586961477,100.0
90,features,confidence_features,False,True,4,83.93617021276596,0.7516405022558641,0.787458177420294,0.7618387817754892,0.8377023022566674,10.0
91,features,confidence_features,False,True,4,92.65957446808514,0.7801572822618085,0.8149844316911732,0.7615332208553062,0.8531266621077426,20.0
92,features,confidence_features,False,True,4,98.19148936170215,0.7828601676336266,0.8588711714289843,0.7310037855982114,0.8658916495707013,30.0
93,features,confidence_features,False,True,4,95.31914893617024,0.7833995524007857,0.8602450987162756,0.7319611000327972,0.86384013372844,40.0
94,features,confidence_features,False,True,4,93.51063829787238,0.8075386342199362,0.8465818418405052,0.7832805929428562,0.8681711116176583,50.0
95,features,confidence_features,False,True,4,92.34042553191492,0.7977557180420428,0.8736566889487023,0.7481679196246019,0.8715903046880936,60.0
96,features,confidence_features,False,True,4,87.02127659574471,0.8085278971569129,0.8509159082232867,0.7794183552476879,0.8698427171187599,70.0
97,features,confidence_features,False,True,4,85.63829787234046,0.7707512909179329,0.8526384108368252,0.7228386317905832,0.84621229389864,80.0
98,features,confidence_features,False,True,4,88.51063829787238,0.7999592252371571,0.8571955502029203,0.7593976436407213,0.8673353088671074,90.0
99,features,confidence_features,False,True,4,88.82978723404258,0.7554508479873878,0.8666547773789124,0.6909549744441356,0.8459083656257124,100.0
100,features,confidence_features,False,True,0,94.14893617021278,0.7497115990644679,0.8286288656635125,0.7121857267067624,0.8370184636425804,10.0
101,features,confidence_features,False,True,0,89.5744680851064,0.8226060194482747,0.8174333382383968,0.8350878759472178,0.87424967707621,20.0
102,features,confidence_features,False,True,0,92.87234042553192,0.813880393141717,0.8396123149802994,0.8017456983489719,0.8731859281209634,30.0
103,features,confidence_features,False,True,0,91.8085106382979,0.79345006336823,0.8637429485243244,0.7453583383613733,0.8658156675024694,40.0
104,features,confidence_features,False,True,0,93.08510638297876,0.80285238533505,0.8671560810233988,0.7640159228168378,0.867639237140035,50.0
105,features,confidence_features,False,True,0,92.34042553191492,0.8084962179694192,0.8546749423105574,0.7816856521971156,0.8658156675024694,60.0
106,features,confidence_features,False,True,0,92.97872340425532,0.7818654397510777,0.878731246088627,0.721092827659328,0.8590532634298306,70.0
107,features,confidence_features,False,True,0,90.85106382978726,0.7944476493295656,0.8580483963833548,0.7543814062980249,0.8582934427475116,80.0
108,features,confidence_features,False,True,0,90.10638297872345,0.7977643918064448,0.8627407948052481,0.753329294650582,0.8654357571613099,90.0
109,features,confidence_features,False,True,0,91.1702127659575,0.8110794695020822,0.8465547716787402,0.7894019756266333,0.8675632550718031,100.0
110,features,confidence_features,False,True,3,94.2553191489362,0.7978566231083326,0.8177082731688375,0.7950442106679598,0.8614846896132513,10.0
111,features,confidence_features,False,True,3,94.36170212765958,0.819212902243916,0.8469679065521835,0.7999914055340408,0.8785806549654281,20.0
112,features,confidence_features,False,True,3,92.87234042553196,0.7722166178230611,0.8287263293955852,0.7483577811941686,0.8445406883975382,30.0
113,features,confidence_features,False,True,3,90.95744680851064,0.7994780816383196,0.8634942088105191,0.7547684049523707,0.8671833447306435,40.0
114,features,confidence_features,False,True,3,93.19148936170214,0.7761169279611506,0.8682216754668122,0.7196440518385305,0.8525188055618874,50.0
115,features,confidence_features,False,True,3,93.8297872340426,0.7669529134275355,0.8616867275494551,0.7122148252637371,0.8464402401033356,60.0
116,features,confidence_features,False,True,3,84.0425531914894,0.7991955728553228,0.8503449148202193,0.7637585480167629,0.8649798647519186,70.0
117,features,confidence_features,False,True,3,85.42553191489364,0.8120145422076673,0.8414946246047791,0.791803365200662,0.8706785198693109,80.0
118,features,confidence_features,False,True,3,88.08510638297876,0.7427176109291653,0.8435025731361445,0.6911664780301701,0.8288883823417673,90.0
119,features,confidence_features,False,True,3,89.89361702127663,0.7887194364377723,0.8426996600030568,0.7545771342489079,0.8560899627687866,100.0
